lang_code,vendor,variant,C_i,M_i,f_i
abk,Tamaz_Kharchlaa,Џ,145737,80285256,0.0018152399
abk,Tamaz_Kharchlaa,А,18344148,80285256,0.2284871334
abk,Tamaz_Kharchlaa,Б,1132452,80285256,0.0141053545
abk,Tamaz_Kharchlaa,В,92840,80285256,0.0011563767
abk,Tamaz_Kharchlaa,Г,1658255,80285256,0.0206545396
abk,Tamaz_Kharchlaa,Д,1459847,80285256,0.0181832515
abk,Tamaz_Kharchlaa,Е,1731714,80285256,0.0215695146
abk,Tamaz_Kharchlaa,Ж,522867,80285256,0.0065126155
abk,Tamaz_Kharchlaa,З,2340825,80285256,0.0291563497
abk,Tamaz_Kharchlaa,И,5737216,80285256,0.0714603937
abk,Tamaz_Kharchlaa,К,1364089,80285256,0.0169905294
abk,Tamaz_Kharchlaa,Л,2077551,80285256,0.0258771175
abk,Tamaz_Kharchlaa,М,1676489,80285256,0.0208816548
abk,Tamaz_Kharchlaa,Н,2993992,80285256,0.0372919282
abk,Tamaz_Kharchlaa,О,1413848,80285256,0.0176103069
abk,Tamaz_Kharchlaa,П,582454,80285256,0.0072548065
abk,Tamaz_Kharchlaa,Р,4113409,80285256,0.0512349241
abk,Tamaz_Kharchlaa,С,1961387,80285256,0.0244302266
abk,Tamaz_Kharchlaa,Т,1637088,80285256,0.0203908922
abk,Tamaz_Kharchlaa,У,2631281,80285256,0.0327741497
abk,Tamaz_Kharchlaa,Ф,88606,80285256,0.0011036398
abk,Tamaz_Kharchlaa,Х,2389243,80285256,0.0297594243
abk,Tamaz_Kharchlaa,Ц,969089,80285256,0.0120705725
abk,Tamaz_Kharchlaa,Ч,178824,80285256,0.0022273579
abk,Tamaz_Kharchlaa,Ш,1960294,80285256,0.0244166127
abk,Tamaz_Kharchlaa,Ы,6089899,80285256,0.0758532675
abk,Tamaz_Kharchlaa,Ь,2451925,80285256,0.0305401654
abk,Tamaz_Kharchlaa,Қ,860817,80285256,0.0107219811
abk,Tamaz_Kharchlaa,Ҟ,777170,80285256,0.0096801086
abk,Tamaz_Kharchlaa,Ҩ,542917,80285256,0.0067623500
abk,Tamaz_Kharchlaa,Ҭ,1235126,80285256,0.0153842195
abk,Tamaz_Kharchlaa,Ҳ,1320443,80285256,0.0164468928
abk,Tamaz_Kharchlaa,Ҵ,779618,80285256,0.0097105999
abk,Tamaz_Kharchlaa,Ҷ,128651,80285256,0.0016024237
abk,Tamaz_Kharchlaa,Ҽ,173200,80285256,0.0021573077
abk,Tamaz_Kharchlaa,Ҿ,352635,80285256,0.0043922760
abk,Tamaz_Kharchlaa,Ә,4537145,80285256,0.0565128048
abk,Tamaz_Kharchlaa,Ӡ,583806,80285256,0.0072716465
abk,Tamaz_Kharchlaa,Ӷ,194452,80285256,0.0024220138
abk,Tamaz_Kharchlaa,Ԥ,1053907,80285256,0.0131270304
abq,maxmerben,А,84454,471899,0.1789662618
abq,maxmerben,Б,8374,471899,0.0177453226
abq,maxmerben,В,25820,471899,0.0547150979
abq,maxmerben,Г,15086,471899,0.0319687052
abq,maxmerben,Д,13315,471899,0.0282157835
abq,maxmerben,Е,22143,471899,0.0469231764
abq,maxmerben,Ж,3913,471899,0.0082920286
abq,maxmerben,З,12536,471899,0.0265650065
abq,maxmerben,И,37425,471899,0.0793072246
abq,maxmerben,Й,572,471899,0.0012121238
abq,maxmerben,К,18015,471899,0.0381755418
abq,maxmerben,Л,17217,471899,0.0364845020
abq,maxmerben,М,11242,471899,0.0238228943
abq,maxmerben,Н,23980,471899,0.0508159585
abq,maxmerben,О,27840,471899,0.0589956749
abq,maxmerben,П,11964,471899,0.0253528827
abq,maxmerben,Р,28413,471899,0.0602099178
abq,maxmerben,С,19218,471899,0.0407248161
abq,maxmerben,Т,23999,471899,0.0508562214
abq,maxmerben,У,15581,471899,0.0330176584
abq,maxmerben,Ф,1258,471899,0.0026658247
abq,maxmerben,Х,12465,471899,0.0264145506
abq,maxmerben,Ч,6061,471899,0.0128438501
abq,maxmerben,Ш,6903,471899,0.0146281302
abq,maxmerben,Э,859,471899,0.0018203048
