rank,variant,weighted_population,share,langs_count
1,А,2271766.663230,0.1292205208,52
2,Н,1167900.866613,0.0664314521,52
3,Р,1072369.278484,0.0609975130,52
4,И,980635.170046,0.0557795787,51
5,Л,975988.876905,0.0555152926,52
6,Е,973024.608497,0.0553466818,52
7,Т,833135.455434,0.0473896370,52
8,Ы,669865.351722,0.0381026586,45
9,У,648477.495034,0.0368860944,52
10,К,617367.656538,0.0351165335,52
11,О,612647.377408,0.0348480389,52
12,Д,581564.028266,0.0330799848,52
13,С,561114.640323,0.0319168017,52
14,М,531959.031565,0.0302583994,52
15,Ә,438226.335913,0.0249267833,7
16,Б,423438.984900,0.0240856629,52
17,Г,362226.181445,0.0206038131,52
18,Ш,301745.899958,0.0171636299,52
19,В,284972.437685,0.0162095374,52
20,Й,278115.735266,0.0158195209,51
21,Х,250512.236836,0.0142494043,52
22,П,248903.018806,0.0141578703,52
23,З,246258.189027,0.0140074295,52
24,Э,202634.049752,0.0115260418,49
25,Ч,199135.079374,0.0113270166,51
26,Я,172368.093430,0.0098044818,48
27,Ү,106123.002644,0.0060363900,10
28,Ц,98334.927399,0.0055933960,49
29,Ь,95458.418572,0.0054297771,46
30,Ө,85618.616330,0.0048700786,10
31,Ң,77426.554215,0.0044041053,9
32,Ӕ,76843.173691,0.0043709220,1
33,Ж,71570.268482,0.0040709935,52
34,Ф,64215.989420,0.0036526743,51
35,І,62366.822399,0.0035474916,9
36,ХЬ,61985.030164,0.0035257749,15
37,Һ,56980.002244,0.0032410836,9
38,Ю,45649.518995,0.0025965935,49
39,КЪ,43932.527133,0.0024989292,16
40,Ӑ,39274.791951,0.0022339922,1
41,Ӗ,38177.702117,0.0021715886,1
42,Ҡ,37172.239857,0.0021143968,2
43,Ғ,35481.186645,0.0020182079,7
44,ГЪ,35238.961098,0.0020044298,15
45,ГЬ,34005.909638,0.0019342926,11
46,Ҙ,33422.514011,0.0019011084,1
47,ЛЪ,29642.201197,0.0016860801,6
48,Ҫ,27754.976211,0.0015787328,2
49,Җ,27178.649644,0.0015459507,4
50,АЬ,24692.256374,0.0014045220,6
51,КХ,23276.515057,0.0013239931,2
52,Щ,20944.351627,0.0011913372,45
53,Ӧ,20930.622287,0.0011905562,8
54,Қ,20251.879673,0.0011519486,5
55,Ӏ,19278.334416,0.0010965723,10
56,ХЪ,18951.929938,0.0010780061,13
57,ГӀ,17966.076350,0.0010219297,6
58,УЬ,16300.541406,0.0009271923,6
59,ХӀ,15306.162981,0.0008706309,6
60,КӀ,14467.133273,0.0008229060,11
61,КЬ,14428.131979,0.0008206876,11
62,ТӀ,14106.773480,0.0008024084,13
63,ОЬ,10819.440353,0.0006154214,3
64,Ӹ,9342.172719,0.0005313928,2
65,Ҳ,9120.478573,0.0005187826,4
66,КІ,8920.062669,0.0005073827,2
67,ЦӀ,8138.429799,0.0004629226,12
68,Ў,7990.762338,0.0004545231,3
69,ЧӀ,7262.366988,0.0004130912,11
70,Ӓ,6616.464790,0.0003763516,2
71,Ӱ,6194.737314,0.0003523633,5
72,ЩӀ,5976.612679,0.0003399561,1
73,Ї,5600.571183,0.0003185665,1
74,Ҥ,5553.245246,0.0003158745,4
75,ПӀ,5355.425244,0.0003046223,11
76,Ӥ,3882.693118,0.0002208517,1
77,НЪ,3231.642944,0.0001838193,2
78,Ҕ,3186.669352,0.0001812612,1
79,СС,3040.150578,0.0001729270,1
80,Є,2861.106345,0.0001627428,1
81,ЖЬ,2711.334210,0.0001542236,2
82,Ӳ,2450.023001,0.0001393599,1
83,Ҷ,2363.171389,0.0001344197,2
84,Ұ,2353.482178,0.0001338686,1
85,Ӣ,1986.415459,0.0001129894,1
86,ДЬ,1808.704258,0.0001028810,1
87,ЛӀ,1634.244498,0.0000929576,4
88,ТТ,1591.366744,0.0000905186,2
89,ЯЬ,1342.102148,0.0000763402,2
90,ДЖ,1339.247066,0.0000761778,4
91,ФӀ,1215.275697,0.0000691262,1
92,Ӯ,1199.661701,0.0000682380,1
