rank,symbol,weighted_population,share,langs_count
1,А,2296668.625694,0.1274654130,52
2,Н,1171738.557675,0.0650316452,52
3,Р,1072369.278484,0.0595166370,52
4,Л,1007272.625933,0.0559037642,52
5,И,980635.170046,0.0544253819,51
6,Е,973024.608497,0.0540029947,52
7,Т,851143.576488,0.0472385813,52
8,К,723817.527817,0.0401719687,52
9,Ы,670015.933628,0.0371859731,45
10,У,664861.179825,0.0368998836,52
11,О,623466.817761,0.0346024910,52
12,Д,584716.598668,0.0324518487,52
13,С,567194.941479,0.0314793944,52
14,М,531959.031565,0.0295237967,52
15,Г,449437.128530,0.0249438202,52
16,Ә,438226.335913,0.0243216197,7
17,Б,423438.984900,0.0235009198,52
18,Х,372386.282017,0.0206674880,52
19,Ш,303012.581410,0.0168172384,52
20,В,284972.437685,0.0158160080,52
21,Й,278115.735266,0.0154354602,51
22,Ь,265220.995534,0.0147198004,49
23,П,254715.301890,0.0141367330,52
24,З,246262.808104,0.0136676185,52
25,Ч,207947.396913,0.0115411081,52
26,Э,202634.049752,0.0112462166,49
27,Я,173710.195578,0.0096409389,48
28,Ъ,131681.952861,0.0073083658,18
29,Ӏ,111862.907679,0.0062084062,15
30,Ц,107374.638335,0.0059593067,50
31,Ү,106123.002644,0.0058898407,10
32,Ө,85618.616330,0.0047518446,10
33,Ң,77426.554215,0.0042971840,9
34,Ӕ,76843.173691,0.0042648063,1
35,Ж,75747.932144,0.0042040203,52
36,І,74339.017768,0.0041258253,10
37,Ф,65431.265117,0.0036314439,51
38,Һ,56980.002244,0.0031623977,9
39,Ю,46364.496379,0.0025732357,49
40,Ӑ,39274.791951,0.0021797562,1
41,Ӗ,38177.702117,0.0021188675,1
42,Ҡ,37172.239857,0.0020630642,2
43,Ғ,35481.186645,0.0019692106,7
44,Ҙ,33422.514011,0.0018549540,1
45,Ҫ,27754.976211,0.0015404049,2
46,Җ,27178.649644,0.0015084187,4
47,Щ,26920.964306,0.0014941171,45
48,Ӧ,20930.622287,0.0011616523,8
49,Қ,20251.879673,0.0011239820,5
50,Ӹ,9342.172719,0.0005184918,2
51,Ҳ,9120.478573,0.0005061878,4
52,Ў,7990.762338,0.0004434884,3
53,Ӓ,6616.464790,0.0003672147,2
54,Ӱ,6194.737314,0.0003438087,5
55,Ї,5600.571183,0.0003108324,1
56,Ҥ,5553.245246,0.0003082058,4
57,Ӥ,3882.693118,0.0002154900,1
58,Ҕ,3186.669352,0.0001768606,1
59,Є,2861.106345,0.0001587918,1
60,Ӳ,2450.023001,0.0001359766,1
61,Ҷ,2363.171389,0.0001311563,2
62,Ұ,2353.482178,0.0001306186,1
63,Ӣ,1986.415459,0.0001102463,1
64,Ӯ,1199.661701,0.0000665814,1
65,Ј,943.857109,0.0000523842,2
66,Ӟ,931.216453,0.0000516826,1
67,Ӵ,846.466909,0.0000469790,1
68,Ӈ,807.267542,0.0000448035,2
69,Ѣ,537.288851,0.0000298196,1
70,ᵸ,351.409204,0.0000195033,1
71,Ґ,319.908827,0.0000177550,2
72,Ӝ,280.520262,0.0000155689,1
73,А̄,260.435248,0.0000144542,1
74,Е̄,130.217624,0.0000072271,1
75,Ӌ,89.286120,0.0000049554,1
76,Ӂ,74.964282,0.0000041605,1
77,Ҭ,65.459854,0.0000036330,1
78,О̄,60.649304,0.0000033660,1
79,Ԥ,55.855514,0.0000031000,1
80,Ҵ,41.318603,0.0000022932,1
81,Ҟ,41.188862,0.0000022860,1
82,Ӡ,30.940856,0.0000017172,1
83,Ҩ,28.773799,0.0000015969,1
84,Ҿ,18.689134,0.0000010372,1
85,Ӷ,10.305669,0.0000005720,1
86,Ҽ,9.179344,0.0000005095,1
87,Џ,7.723846,0.0000004287,1
88,Ѳ,6.554311,0.0000003638,1
89,Ѵ,0.079097,0.0000000044,1
