lang_code,population
abk,4255
abq,40154
ady,86100
agx,33182
akv,7521
alt,62572
ani,21150
atv,5700
ava,650104
bak,1567000
bel,60824
bua,204200
che,1644313
chu,25620
chv,700222
crh,149827
dar,362156
dlg,4836
inh,501544
kaz,265703
kbd,450276
kir,85655
kjh,46726
koi,40293
kpt,245000
kpv,150405
krc,274038
kum,523734
lbe,144532
lez,287878
mdf,228025
mhr,423803
mrj,135000
myv,46000
nog,85640
oss,456564
rom,128197
ron,46500
rut,33104
sah,378000
sty,150000
tab,143578
tat,4699000
tgk,216450
tin,20000
tsudaqar,33000
tyv,295384
udm,396000
ukr,627106
uzb,228962
xal,107742
xdq,40000
yrk,24487
