base_letter,priorities
А (10.1%),Ә (78.1%); Ӕ (13.7%); Ӑ (7.0%); Ӓ (1.2%); А̄ (<1%)
Г (21.5%),Ғ (91.0%); Ҕ (8.2%); Ґ (<1%); Ӷ (<1%)
Е (7.8%),Ӗ (91.5%); Є (6.9%); Ѣ (1.3%); Е̄ (<1%)
Ж (32.4%),Җ (98.7%); Ӝ (1.0%); Ӂ (<1%); Ѥ (<1%)
З (11.2%),Ҙ (97.2%); Ӟ (2.7%); Ӡ (<1%)
И (10.5%),І (92.7%); Ӥ (4.8%); Ӣ (2.5%)
Й (4.1%),Ї (85.6%); Ј (14.4%); Ѵ (<1%)
К (14.9%),Ҡ (64.7%); Қ (35.2%); Ҟ (<1%); Ѯ (<1%)
Л (<1%),Ӆ (<1%)
Н (47.9%),Ң (92.0%); Ҥ (6.6%); Ӈ (<1%); ᵸ (<1%)
О (51.5%),Ө (80.3%); Ӧ (19.6%); О̄ (<1%); Ѡ (<1%)
П (<1%),Ԥ (>99%); Ѱ (<1%)
С (13.0%),Ҫ (>99%); С̄ (<1%)
Т (<1%),Ҭ (100.0%)
У (55.1%),Ү (84.0%); Ў (6.3%); Ӱ (4.9%); Ӳ (1.9%); Ұ (1.9%); Ӯ (<1%)
Ф (<1%),Ѳ (100.0%)
Х (44.7%),Һ (86.2%); Ҳ (13.8%)
Ц (<1%),Ҵ (100.0%)
Ч (3.8%),Ҷ (71.6%); Ӵ (25.7%); Ӌ (2.7%)
Ш (<1%),Ҿ (67.1%); Ҽ (32.9%)
Ы (3.2%),Ӹ (100.0%)
Ь (26.6%),Ӏ (66.3%); Һ (33.7%); Ѫ (<1%)
Э (38.8%),Ә (>99%); Ӭ (<1%)
Ю (<1%),Ҩ (>99%); Ѭ (<1%)
Я (<1%),Џ (>99%); Ѧ (<1%)
