rank,variant,weighted_population,share,langs_count
1,А,16829721.753696,0.1211912753,52
2,Н,9660003.992615,0.0695619464,52
3,И,9567806.361799,0.0688980288,51
4,Р,8010657.692383,0.0576849597,52
5,О,7921271.555933,0.0570412878,52
6,Л,6831788.365993,0.0491958903,52
7,Т,6622706.426534,0.0476902856,52
8,Е,6208375.356474,0.0447066766,52
9,С,5195237.709057,0.0374110453,52
10,К,5047201.246350,0.0363450308,52
11,Д,5044256.840612,0.0363238281,52
12,У,4507952.778907,0.0324618882,52
13,М,4442405.576538,0.0319898811,52
14,І,4218752.612253,0.0303793501,9
15,В,3681513.293872,0.0265106754,52
16,Б,3252310.299843,0.0234199732,52
17,Г,3025020.000556,0.0217832497,52
18,Ы,3003897.748316,0.0216311478,45
19,П,2460060.999348,0.0177149649,52
20,З,2400203.447019,0.0172839291,52
21,Й,1958193.886209,0.0141010064,51
22,Ш,1860640.520038,0.0133985220,52
23,Я,1778624.077964,0.0128079194,48
24,Қ,1437936.875474,0.0103546218,5
25,Ч,1398385.536338,0.0100698116,51
26,Х,1248313.995573,0.0089891424,52
27,Ь,1149589.715157,0.0082782262,46
28,Ж,1122259.567230,0.0080814211,52
29,Ц,923280.906622,0.0066485704,49
30,Э,829918.615624,0.0059762661,49
31,Ў,768212.516509,0.0055319188,3
32,Ә,717490.521367,0.0051666684,7
33,Ф,573223.966936,0.0041278011,51
34,Ю,541668.641003,0.0039005703,49
35,Ғ,456708.271653,0.0032887684,7
36,Ү,423110.978261,0.0030468334,10
37,Ҳ,418594.576078,0.0030143107,4
38,Ї,401886.927000,0.0028939985,1
39,Ө,382091.507035,0.0027514511,10
40,Ң,368783.850115,0.0026556223,9
41,Ё,231069.698572,0.0016639391,40
42,Є,205307.851500,0.0014784273,1
43,Щ,184110.752234,0.0013257864,45
44,Ұ,159028.619401,0.0011451693,1
45,Ъ,144978.537199,0.0010439943,44
46,КЪ,92284.097701,0.0006645402,16
47,ХЬ,88443.382216,0.0006368832,15
48,Ӕ,81061.482285,0.0005837259,1
49,ГЪ,79960.454653,0.0005757974,15
50,Һ,79307.786188,0.0005710975,9
51,ЛЪ,65278.327354,0.0004700710,6
52,ГЬ,62623.392375,0.0004509527,11
53,Җ,40177.994403,0.0002893228,4
54,Ҡ,39338.898362,0.0002832805,2
55,Ӑ,39264.149066,0.0002827422,1
56,Ӗ,38167.356477,0.0002748442,1
57,Ҙ,35413.636026,0.0002550145,1
58,Ӏ,32165.216857,0.0002316226,10
