rank,symbol,weighted_population,share,langs_count
1,А,16859564.382709,0.1207629066,52
2,Н,9669778.328919,0.0692633873,52
3,И,9567806.361799,0.0685329751,51
4,Р,8010657.692383,0.0573793181,52
5,О,7935248.217839,0.0568391696,52
6,Л,6900591.293965,0.0494280542,52
7,Т,6645024.639465,0.0475974629,52
8,Е,6208375.356474,0.0444697998,52
9,К,5242709.695494,0.0375528600,52
10,С,5203179.801776,0.0372697125,52
11,Д,5050200.991758,0.0361739448,52
12,У,4531836.214123,0.0324609641,52
13,М,4442405.576538,0.0318203838,52
14,І,4241612.879415,0.0303821314,10
15,В,3681513.293872,0.0263702096,52
16,Б,3252310.299843,0.0232958833,52
17,Г,3186023.902357,0.0228210823,52
18,Ы,3004141.329352,0.0215182807,45
19,П,2468876.565223,0.0176842475,52
20,З,2400210.918829,0.0171924043,52
21,Й,1958193.886209,0.0140262927,51
22,Ш,1869467.568478,0.0133907575,52
23,Я,1780216.670955,0.0127514647,48
24,Қ,1437936.875474,0.0102997582,5
25,Х,1416020.581244,0.0101427746,52
26,Ч,1409968.615307,0.0100994251,52
27,Ь,1408829.461375,0.0100912655,49
28,Ж,1135783.026210,0.0081354688,52
29,Ц,935826.339605,0.0067032046,50
30,Э,829918.615624,0.0059446011,49
31,Ў,768212.516509,0.0055026082,3
32,Ә,717490.521367,0.0051392930,7
33,Ф,575922.924236,0.0041252624,51
34,Ю,542591.779117,0.0038865156,49
35,Ғ,456708.271653,0.0032713430,7
36,Ъ,428563.178775,0.0030697433,47
37,Ү,423110.978261,0.0030306899,10
38,Ҳ,418594.576078,0.0029983395,4
39,Ї,401886.927000,0.0028786647,1
40,Ө,382091.507035,0.0027368727,10
41,Ң,368783.850115,0.0026415516,9
42,Ё,231069.698572,0.0016551227,40
43,Є,205307.851500,0.0014705939,1
44,Щ,197383.972834,0.0014138362,45
45,Ӏ,164710.042830,0.0011797970,15
46,Ұ,159028.619401,0.0011391017,1
47,Ӕ,81061.482285,0.0005806330,1
48,Һ,79307.786188,0.0005680715,9
49,Җ,40177.994403,0.0002877898,4
50,Ҡ,39338.898362,0.0002817795,2
51,Ӑ,39264.149066,0.0002812441,1
52,Ӗ,38167.356477,0.0002733879,1
53,Ҙ,35413.636026,0.0002536634,1
54,Ҫ,28046.116771,0.0002008908,2
55,Ӧ,22968.537252,0.0001645207,8
56,Ґ,14576.496700,0.0001044096,2
57,Ӹ,9339.305214,0.0000668963,2
58,Ӱ,6635.476943,0.0000475291,5
59,Ӓ,6614.433226,0.0000473783,2
60,Ҥ,6074.998654,0.0000435144,4
61,Ӥ,3826.605935,0.0000274095,1
62,Ҕ,3186.235332,0.0000228226,1
63,Ҭ,2984.538583,0.0000213779,1
64,Ҷ,2645.823144,0.0000189517,2
65,Ԥ,2546.643898,0.0000182413,1
66,Ӳ,2449.359120,0.0000175444,1
67,Ӣ,1968.375066,0.0000140992,1
68,Ҵ,1883.856381,0.0000134938,1
69,Ҟ,1877.941068,0.0000134515,1
70,Ӈ,1585.793605,0.0000113588,2
71,Ӡ,1410.699421,0.0000101047,1
72,Ҩ,1311.895900,0.0000093969,1
73,Ј,1309.049483,0.0000093766,2
74,Ӯ,1188.766517,0.0000085150,1
75,Ӟ,917.764650,0.0000065738,1
76,Ҿ,852.101544,0.0000061035,1
77,Ӵ,834.239340,0.0000059755,1
78,Ѣ,829.826956,0.0000059439,1
79,Ӷ,469.870677,0.0000033656,1
80,Ҽ,418.517694,0.0000029978,1
81,Џ,352.156541,0.0000025225,1
82,ᵸ,347.565278,0.0000024896,1
83,Ӝ,276.468034,0.0000019803,1
84,А̄,257.586450,0.0000018451,1
85,Е̄,128.793226,0.0000009225,1
86,Ӌ,120.276658,0.0000008615,1
87,Ӂ,74.953959,0.0000005369,1
88,О̄,59.985886,0.0000004297,1
89,Ѳ,10.122942,0.0000000725,1
90,Ѵ,0.122161,0.0000000009,1
