base_letter,priorities
А (1.3%),Ә (84.9%); Ӕ (9.6%); Ӑ (4.6%); Ӓ (<1%); А̄ (<1%)
Г (75.4%),Ғ (96.2%); Ґ (3.1%); Ҕ (<1%); Ӷ (<1%)
Е (34.8%),Ё (48.6%); Є (43.2%); Ӗ (8.0%); Ѣ (<1%); Е̄ (<1%)
Ж (5.3%),Җ (99.1%); Ӝ (<1%); Ӂ (<1%); Ѥ (<1%)
З (1.6%),Ҙ (93.8%); Ӡ (3.7%); Ӟ (2.4%)
И (52.2%),І (>99%); Ӥ (<1%); Ӣ (<1%)
Й (32.5%),Ї (>99%); Ј (<1%); Ѵ (<1%)
К (42.4%),Қ (97.2%); Ҡ (2.7%); Ҟ (<1%); Ѯ (<1%)
Л (<1%),Ӆ (<1%)
Н (24.4%),Ң (97.9%); Ҥ (1.6%); Ӈ (<1%); ᵸ (<1%)
О (25.1%),Ө (94.3%); Ӧ (5.7%); О̄ (<1%); Ѡ (<1%)
П (<1%),Ԥ (>99%); Ѱ (<1%)
С (1.7%),Ҫ (>99%); С̄ (<1%)
Т (<1%),Ҭ (100.0%)
У (59.1%),Ў (56.5%); Ү (31.1%); Ұ (11.7%); Ӱ (<1%); Ӳ (<1%); Ӯ (<1%)
Ф (<1%),Ѳ (100.0%)
Х (47.5%),Ҳ (84.1%); Һ (15.9%)
Ц (<1%),Ҵ (100.0%)
Ч (<1%),Ҷ (73.5%); Ӵ (23.2%); Ӌ (3.3%)
Ш (<1%),Ҿ (67.1%); Ҽ (32.9%)
Ы (<1%),Ӹ (100.0%)
Ь (5.2%),Ӏ (67.5%); Һ (32.5%); Ѫ (<1%)
Э (19.1%),Ә (>99%); Ӭ (<1%)
Ю (<1%),Ҩ (>99%); Ѭ (<1%)
Я (<1%),Џ (>99%); Ѧ (<1%)
